id,humor_controversy
9001,1
9002,0
9003,1
9004,0
9005,1
9006,0
9007,1
9008,1
9009,0
9010,0
9011,1
9012,0
9013,0
9014,0
9015,1
9016,0
9017,1
9018,1
9019,1
9020,1
9021,0
9022,0
9023,1
9024,1
9025,0
9026,1
9027,0
9028,1
9029,0
9030,0
9031,1
9032,1
9033,0
9034,1
9035,0
9036,0
9037,1
9038,1
9039,1
9040,0
9041,0
9042,1
9043,1
9044,0
9045,1
9046,0
9047,0
9048,1
9049,1
9050,1
9051,1
9052,0
9053,0
9054,1
9055,1
9056,1
9057,0
9058,0
9059,1
9060,0
9061,1
9062,0
9063,0
9064,0
9065,1
9066,0
9067,0
9068,1
9069,0
9070,1
9071,0
9072,0
9073,1
9074,1
9075,0
9076,1
9077,0
9078,0
9079,0
9080,1
9081,0
9082,1
9083,1
9084,0
9085,1
9086,0
9087,0
9088,0
9089,1
9090,1
9091,0
9092,1
9093,0
9094,0
9095,0
9096,1
9097,1
9098,0
9099,1
9100,0
9101,1
9102,1
9103,1
9104,1
9105,0
9106,0
9107,0
9108,0
9109,0
9110,1
9111,0
9112,1
9113,1
9114,1
9115,1
9116,0
9117,0
9118,0
9119,1
9120,1
9121,1
9122,1
9123,0
9124,1
9125,1
9126,1
9127,0
9128,0
9129,0
9130,0
9131,1
9132,0
9133,0
9134,0
9135,1
9136,0
9137,1
9138,0
9139,1
9140,0
9141,0
9142,1
9143,0
9144,1
9145,1
9146,0
9147,0
9148,0
9149,0
9150,0
9151,0
9152,0
9153,1
9154,1
9155,0
9156,1
9157,0
9158,1
9159,0
9160,0
9161,0
9162,0
9163,0
9164,1
9165,0
9166,0
9167,0
9168,1
9169,1
9170,1
9171,0
9172,1
9173,0
9174,0
9175,0
9176,1
9177,1
9178,0
9179,0
9180,1
9181,1
9182,1
9183,1
9184,1
9185,0
9186,1
9187,1
9188,0
9189,1
9190,1
9191,1
9192,0
9193,0
9194,1
9195,0
9196,0
9197,1
9198,0
9199,0
9200,1
9201,1
9202,1
9203,0
9204,0
9205,1
9206,0
9207,1
9208,1
9209,1
9210,1
9211,0
9212,0
9213,1
9214,0
9215,0
9216,1
9217,0
9218,1
9219,0
9220,1
9221,0
9222,1
9223,0
9224,0
9225,1
9226,0
9227,0
9228,1
9229,1
9230,0
9231,0
9232,1
9233,0
9234,1
9235,0
9236,1
9237,1
9238,0
9239,1
9240,0
9241,0
9242,0
9243,1
9244,0
9245,0
9246,1
9247,0
9248,1
9249,0
9250,1
9251,1
9252,1
9253,0
9254,0
9255,1
9256,0
9257,1
9258,0
9259,1
9260,1
9261,0
9262,0
9263,0
9264,0
9265,0
9266,1
9267,1
9268,1
9269,1
9270,0
9271,1
9272,1
9273,1
9274,0
9275,0
9276,1
9277,1
9278,0
9279,0
9280,1
9281,1
9282,1
9283,0
9284,0
9285,1
9286,0
9287,0
9288,0
9289,1
9290,1
9291,0
9292,1
9293,1
9294,1
9295,1
9296,0
9297,1
9298,1
9299,0
9300,1
9301,1
9302,1
9303,0
9304,0
9305,1
9306,1
9307,0
9308,0
9309,0
9310,0
9311,1
9312,0
9313,1
9314,0
9315,1
9316,1
9317,1
9318,1
9319,1
9320,1
9321,1
9322,1
9323,1
9324,0
9325,0
9326,1
9327,1
9328,1
9329,1
9330,0
9331,1
9332,0
9333,0
9334,0
9335,1
9336,0
9337,1
9338,1
9339,1
9340,1
9341,0
9342,0
9343,0
9344,1
9345,1
9346,1
9347,0
9348,1
