id,is_humor
9001,1
9002,0
9003,1
9004,1
9005,1
9006,1
9007,1
9008,1
9009,1
9010,1
9011,1
9012,0
9013,0
9014,0
9015,0
9016,1
9017,1
9018,1
9019,0
9020,0
9021,0
9022,0
9023,1
9024,1
9025,0
9026,1
9027,0
9028,1
9029,1
9030,1
9031,0
9032,1
9033,1
9034,1
9035,1
9036,1
9037,1
9038,1
9039,1
9040,1
9041,0
9042,1
9043,1
9044,0
9045,1
9046,0
9047,0
9048,0
9049,1
9050,1
9051,1
9052,0
9053,1
9054,1
9055,1
9056,1
9057,1
9058,1
9059,1
9060,1
9061,1
9062,1
9063,1
9064,0
9065,1
9066,0
9067,0
9068,1
9069,0
9070,1
9071,1
9072,0
9073,0
9074,0
9075,0
9076,1
9077,1
9078,1
9079,1
9080,1
9081,0
9082,0
9083,1
9084,0
9085,0
9086,1
9087,0
9088,0
9089,1
9090,0
9091,0
9092,1
9093,1
9094,0
9095,0
9096,1
9097,1
9098,1
9099,1
9100,0
9101,1
9102,1
9103,1
9104,1
9105,1
9106,1
9107,1
9108,1
9109,1
9110,1
9111,1
9112,1
9113,1
9114,1
9115,1
9116,1
9117,0
9118,0
9119,1
9120,0
9121,1
9122,1
9123,0
9124,1
9125,1
9126,1
9127,0
9128,1
9129,0
9130,1
9131,1
9132,0
9133,1
9134,0
9135,1
9136,0
9137,1
9138,0
9139,1
9140,1
9141,1
9142,1
9143,0
9144,1
9145,1
9146,1
9147,1
9148,0
9149,0
9150,1
9151,0
9152,1
9153,1
9154,0
9155,1
9156,0
9157,0
9158,1
9159,1
9160,0
9161,0
9162,1
9163,0
9164,1
9165,1
9166,0
9167,1
9168,0
9169,1
9170,0
9171,0
9172,1
9173,1
9174,0
9175,1
9176,1
9177,0
9178,0
9179,1
9180,1
9181,1
9182,1
9183,1
9184,1
9185,0
9186,1
9187,1
9188,1
9189,1
9190,0
9191,1
9192,0
9193,0
9194,1
9195,0
9196,0
9197,1
9198,0
9199,1
9200,1
9201,1
9202,0
9203,0
9204,1
9205,1
9206,1
9207,1
9208,1
9209,1
9210,1
9211,0
9212,0
9213,1
9214,1
9215,0
9216,1
9217,1
9218,0
9219,1
9220,1
9221,1
9222,1
9223,0
9224,1
9225,1
9226,1
9227,0
9228,1
9229,0
9230,1
9231,0
9232,1
9233,1
9234,1
9235,1
9236,1
9237,1
9238,0
9239,1
9240,1
9241,1
9242,0
9243,1
9244,1
9245,1
9246,0
9247,0
9248,1
9249,1
9250,1
9251,0
9252,1
9253,1
9254,0
9255,1
9256,1
9257,0
9258,0
9259,0
9260,0
9261,1
9262,0
9263,0
9264,0
9265,1
9266,1
9267,1
9268,1
9269,1
9270,1
9271,0
9272,1
9273,0
9274,0
9275,0
9276,1
9277,1
9278,0
9279,0
9280,1
9281,1
9282,1
9283,1
9284,1
9285,1
9286,0
9287,0
9288,1
9289,1
9290,1
9291,0
9292,0
9293,1
9294,1
9295,1
9296,0
9297,0
9298,1
9299,0
9300,1
9301,1
9302,1
9303,0
9304,0
9305,0
9306,1
9307,0
9308,1
9309,1
9310,1
9311,1
9312,0
9313,1
9314,1
9315,1
9316,1
9317,1
9318,0
9319,1
9320,1
9321,1
9322,1
9323,1
9324,1
9325,1
9326,1
9327,1
9328,0
9329,1
9330,1
9331,1
9332,1
9333,1
9334,1
9335,0
9336,1
9337,1
9338,0
9339,0
9340,1
9341,0
9342,0
9343,0
9344,1
9345,1
9346,1
9347,1
9348,0
9349,1
